"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 05 16:11:32 GMT 2023","Sun Nov 05 16:11:40 GMT 2023","7619","","testFormQa.testFormDr","","testFormQa.testFormDr","testForm3Faker","testForm3Faker()",""
"broken","Sun Nov 05 16:10:57 GMT 2023","Sun Nov 05 16:11:02 GMT 2023","4332","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
"failed","Sun Nov 05 16:10:57 GMT 2023","Sun Nov 05 16:10:57 GMT 2023","37","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"broken","Sun Nov 05 16:11:02 GMT 2023","Sun Nov 05 16:11:32 GMT 2023","30361","","pageObject.TestFormPageWithDriver","","pageObject.TestFormPageWithDriver","testFormDriver","testFormDriver()",""
"passed","Sun Nov 05 16:10:57 GMT 2023","Sun Nov 05 16:10:57 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"skipped","Sun Nov 05 16:10:57 GMT 2023","Sun Nov 05 16:10:57 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
