"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 05 18:10:10 GMT 2023","Sun Nov 05 18:10:10 GMT 2023","44","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"broken","Sun Nov 05 18:10:10 GMT 2023","Sun Nov 05 18:10:13 GMT 2023","3077","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
"skipped","Sun Nov 05 18:10:10 GMT 2023","Sun Nov 05 18:10:10 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"passed","Sun Nov 05 18:10:10 GMT 2023","Sun Nov 05 18:10:10 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"passed","Sun Nov 05 18:10:24 GMT 2023","Sun Nov 05 18:10:27 GMT 2023","2542","","testFormQa.testFormDr","","testFormQa.testFormDr","testForm3Faker","testForm3Faker()",""
"passed","Sun Nov 05 18:10:13 GMT 2023","Sun Nov 05 18:10:24 GMT 2023","11010","","pageObject.TestFormPageWithDriver","","pageObject.TestFormPageWithDriver","testFormDriver","testFormDriver()",""
