"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 05 14:50:28 GMT 2023","Sun Nov 05 14:50:36 GMT 2023","8515","","pageObject.TestFormPageWithDriver","","pageObject.TestFormPageWithDriver","testForm","Заполнение формы регистрации",""
"passed","Sun Nov 05 14:50:11 GMT 2023","Sun Nov 05 14:50:11 GMT 2023","4","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"failed","Sun Nov 05 14:50:12 GMT 2023","Sun Nov 05 14:50:27 GMT 2023","15986","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
"failed","Sun Nov 05 14:50:11 GMT 2023","Sun Nov 05 14:50:11 GMT 2023","45","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"skipped","Sun Nov 05 14:50:11 GMT 2023","Sun Nov 05 14:50:11 GMT 2023","1","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
