"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 14:38:11 GMT 2023","Sun Nov 05 14:38:11 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"failed","Sun Nov 05 14:38:11 GMT 2023","Sun Nov 05 14:38:29 GMT 2023","18385","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
"failed","Sun Nov 05 14:38:11 GMT 2023","Sun Nov 05 14:38:11 GMT 2023","57","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"skipped","Sun Nov 05 14:38:11 GMT 2023","Sun Nov 05 14:38:11 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
