"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 08:53:01 GMT 2023","Sun Nov 05 08:53:01 GMT 2023","9","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"failed","Sun Nov 05 08:53:01 GMT 2023","Sun Nov 05 08:53:01 GMT 2023","45","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"skipped","Sun Nov 05 08:53:01 GMT 2023","Sun Nov 05 08:53:01 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"failed","Sun Nov 05 08:53:01 GMT 2023","Sun Nov 05 08:53:16 GMT 2023","14786","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
