"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 05 15:46:55 GMT 2023","Sun Nov 05 15:46:55 GMT 2023","0","","jenkins.SkippedTest","","jenkins.SkippedTest","test1","test1()",""
"passed","Sun Nov 05 15:47:15 GMT 2023","Sun Nov 05 15:47:17 GMT 2023","2218","","testFormQa.testFormDr","","testFormQa.testFormDr","testForm3Faker","testForm3Faker()",""
"passed","Sun Nov 05 15:46:55 GMT 2023","Sun Nov 05 15:46:55 GMT 2023","1","","jenkins.PositiveTest","","jenkins.PositiveTest","test1","test1()",""
"failed","Sun Nov 05 15:46:54 GMT 2023","Sun Nov 05 15:46:54 GMT 2023","46","","jenkins.NegativeTest","","jenkins.NegativeTest","test1","test1()",""
"failed","Sun Nov 05 15:47:07 GMT 2023","Sun Nov 05 15:47:15 GMT 2023","7658","","pageObject.TestFormPageWithDriver","","pageObject.TestFormPageWithDriver","testForm","testForm()",""
"failed","Sun Nov 05 15:46:55 GMT 2023","Sun Nov 05 15:47:07 GMT 2023","12590","","pageObject.TestFormPage","","pageObject.TestFormPage","testForm","Заполнение формы регистрации",""
